Game version:1.4.0
Size:55:25
Fill:14
//Plants
//type, xPosition, yPosition, growingStage, growingTicks
plant-carrot,128,512,3,0
plant-carrot,128,512,3,0
plant-carrot,192,512,3,0
plant-carrot,192,512,3,0
plant-carrot,256,512,3,0
plant-carrot,256,512,3,0
plant-carrot,320,512,3,0
plant-carrot,320,512,3,0
plant-carrot,384,512,3,0
plant-carrot,384,512,3,0
plant-carrot,448,512,3,0
plant-carrot,448,512,3,0
plant-carrot,512,512,3,0
plant-carrot,512,512,3,0
plant-carrot,576,512,3,0
plant-carrot,576,512,3,0
plant-strawberry,128,1024,3,0
plant-strawberry,128,1024,3,0
plant-strawberry,192,1024,3,0
plant-strawberry,192,1024,3,0
plant-strawberry,256,1024,3,0
plant-strawberry,256,1024,3,0
plant-strawberry,320,1024,3,0
plant-strawberry,320,1024,3,0
plant-strawberry,384,1024,3,0
plant-strawberry,384,1024,3,0
plant-strawberry,448,1024,3,0
plant-strawberry,448,1024,3,0
plant-strawberry,512,1024,3,0
plant-strawberry,512,1024,3,0
plant-strawberry,576,1024,3,0
plant-strawberry,576,1024,3,0
plant-strawberry,128,448,3,0
plant-strawberry,128,448,3,0
plant-strawberry,192,448,3,0
plant-strawberry,192,448,3,0
plant-strawberry,256,448,3,0
plant-strawberry,256,448,3,0
plant-strawberry,320,448,3,0
plant-strawberry,320,448,3,0
plant-strawberry,384,448,3,0
plant-strawberry,384,448,3,0
plant-strawberry,448,448,3,0
plant-strawberry,448,448,3,0
plant-strawberry,512,448,3,0
plant-strawberry,512,448,3,0
plant-strawberry,576,448,3,0
plant-strawberry,576,448,3,0
plant-tomato,128,768,2,3132
plant-tomato,128,768,2,3132
plant-tomato,192,768,2,3106
plant-tomato,192,768,2,3106
plant-tomato,256,768,2,3074
plant-tomato,256,768,2,3074
plant-tomato,320,768,2,3042
plant-tomato,320,768,2,3042
plant-tomato,384,768,2,3000
plant-tomato,384,768,2,3000
plant-tomato,448,768,2,2974
plant-tomato,448,768,2,2974
plant-tomato,512,768,2,2942
plant-tomato,512,768,2,2942
plant-tomato,576,768,2,2906
plant-tomato,576,768,2,2906
plant-beet,128,960,1,4135
plant-beet,128,960,1,4135
plant-beet,192,960,1,4107
plant-beet,192,960,1,4107
plant-beet,256,960,1,4075
plant-beet,256,960,1,4075
plant-beet,320,960,1,4045
plant-beet,320,960,1,4045
plant-beet,384,960,1,4015
plant-beet,384,960,1,4015
plant-beet,512,960,1,3983
plant-beet,512,960,1,3983
plant-beet,448,960,1,3929
plant-beet,448,960,1,3929
plant-beet,576,960,1,3897
plant-beet,576,960,1,3897
plant-bellpepper,128,704,0,1086
plant-bellpepper,128,704,0,1086
plant-bellpepper,192,704,0,1060
plant-bellpepper,192,704,0,1060
plant-bellpepper,256,704,0,1032
plant-bellpepper,256,704,0,1032
plant-bellpepper,320,704,0,998
plant-bellpepper,320,704,0,998
plant-bellpepper,384,704,0,958
plant-bellpepper,384,704,0,958
plant-bellpepper,448,704,0,878
plant-bellpepper,448,704,0,878
plant-bellpepper,512,704,0,846
plant-bellpepper,512,704,0,846
plant-bellpepper,576,704,0,820
plant-bellpepper,576,704,0,820
//Items
//type, xPosition, yPosition
item-strawberry,1536,128
bowl,1344,64,true
water-bowl,1408,64,true
npc-spot,768,512
portal,1408,1600,City
portal,3520,704,Forest
portal,640,-61,Home
bush,1536,1280
bush,1472,704
//layer,tileId,xPos,yPos,regularTile,portalDirection
0,109,10,0,n
0,109,10,1,n
0,108,0,0,n
0,110,19,0,n
0,109,18,0,n
0,109,17,0,n
0,109,16,0,n
0,109,15,0,n
0,109,14,0,n
0,109,13,0,n
0,109,12,0,n
0,109,11,0,n
0,109,9,0,n
0,109,8,0,n
0,109,7,0,n
0,109,6,0,n
0,109,5,0,n
0,109,4,0,n
0,109,2,0,n
0,109,1,0,n
0,109,3,0,n
0,16,1,6,n
0,17,2,6,n
0,17,4,6,n
0,17,3,6,n
0,17,5,6,n
0,17,7,6,n
0,17,6,6,n
0,17,8,6,n
0,17,9,6,n
0,18,10,6,n
0,20,2,7,n
0,20,3,7,n
0,20,4,7,n
0,20,6,7,n
0,20,5,7,n
0,20,7,7,n
0,20,8,7,n
0,20,9,7,n
0,20,9,8,n
0,20,8,8,n
0,20,6,8,n
0,20,7,8,n
0,20,5,8,n
0,20,4,8,n
0,20,3,8,n
0,20,2,8,n
0,19,1,7,n
0,19,1,8,n
0,21,10,7,n
0,21,10,8,n
0,22,1,9,n
0,23,2,9,n
0,23,3,9,n
0,23,4,9,n
0,23,5,9,n
0,23,6,9,n
0,23,7,9,n
0,23,9,9,n
0,23,8,9,n
0,24,10,9,n
0,16,1,10,n
0,17,2,10,n
0,17,4,10,n
0,17,3,10,n
0,17,5,10,n
0,17,6,10,n
0,17,7,10,n
0,17,8,10,n
0,17,9,10,n
0,18,10,10,n
0,19,1,11,n
0,19,1,12,n
0,22,1,13,n
0,23,2,13,n
0,23,3,13,n
0,23,4,13,n
0,23,5,13,n
0,23,6,13,n
0,23,7,13,n
0,23,9,13,n
0,23,8,13,n
0,24,10,13,n
0,21,10,11,n
0,21,10,12,n
0,16,1,14,n
0,17,2,14,n
0,17,3,14,n
0,17,4,14,n
0,17,5,14,n
0,17,6,14,n
0,17,7,14,n
0,17,8,14,n
0,17,9,14,n
0,18,10,14,n
0,19,1,15,n
0,19,1,16,n
0,20,2,11,n
0,20,2,12,n
0,20,3,11,n
0,20,3,12,n
0,20,4,11,n
0,20,4,12,n
0,20,5,11,n
0,20,5,12,n
0,20,6,11,n
0,20,6,12,n
0,20,8,11,n
0,20,7,12,n
0,20,7,11,n
0,20,8,12,n
0,20,9,11,n
0,20,9,12,n
0,20,2,15,n
0,20,2,16,n
0,20,3,16,n
0,20,3,15,n
0,20,4,15,n
0,20,4,16,n
0,20,5,15,n
0,20,5,16,n
0,20,6,15,n
0,20,6,16,n
0,20,7,15,n
0,20,8,15,n
0,20,7,16,n
0,20,8,16,n
0,20,9,15,n
0,20,9,16,n
0,21,10,15,n
0,21,10,16,n
0,22,1,17,n
0,23,2,17,n
0,23,3,17,n
0,23,4,17,n
0,23,5,17,n
0,23,6,17,n
0,23,8,17,n
0,23,7,17,n
0,23,9,17,n
0,24,10,17,n
0,48,10,2,n
0,48,10,3,n
